2024-04-03 19:24:41.009 [main] INFO  org.bailu.rpc.RpcConsumerDemoApplication - Starting RpcConsumerDemoApplication using Java 1.8.0_392 on bailu-MacBook-Air.local with PID 47336 (/Users/bailu/Desktop/rpc/test-rpc/consumer/target/classes started by bailu in /Users/bailu/Desktop/rpc/test-rpc)
2024-04-03 19:24:41.010 [main] INFO  org.bailu.rpc.RpcConsumerDemoApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-03 19:24:41.281 [main] INFO  org.bailu.rpc.filter.client.ClientLogFilter - 读取配置文件成功
2024-04-03 19:24:41.282 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:json, valeu:org.bailu.rpc.protocol.serialization.JsonSerialization
2024-04-03 19:24:41.282 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:hessian, valeu:org.bailu.rpc.protocol.serialization.HessianSerialization
2024-04-03 19:24:41.283 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:consistentHash, valeu:org.bailu.rpc.router.ConsistentHashStrategy
2024-04-03 19:24:41.283 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:roundRobin, valeu:org.bailu.rpc.router.RoundRobinStrategy
2024-04-03 19:24:41.283 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:logFilter, valeu:org.bailu.rpc.filter.client.ClientLogFilter
2024-04-03 19:24:41.366 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2024-04-03 19:24:41.370 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2024-04-03 19:24:41.370 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-04-03 19:24:41.370 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
2024-04-03 19:24:41.399 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-03 19:24:41.399 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 367 ms
2024-04-03 19:24:41.417 [main] INFO  org.bailu.rpc.filter.client.ClientLogFilter - test field:testService注入成功
2024-04-03 19:24:41.417 [main] INFO  org.bailu.rpc.filter.client.ClientLogFilter - test field:test2Service注入成功
2024-04-03 19:24:41.521 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2024-04-03 19:24:41.530 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2024-04-03 19:24:41.537 [main] INFO  org.bailu.rpc.RpcConsumerDemoApplication - Started RpcConsumerDemoApplication in 0.69 seconds (JVM running for 0.969)
2024-04-03 19:24:58.574 [main] INFO  org.bailu.rpc.RpcProviderDemoApplication - Starting RpcProviderDemoApplication using Java 1.8.0_392 on bailu-MacBook-Air.local with PID 47340 (/Users/bailu/Desktop/rpc/test-rpc/provider-1/target/classes started by bailu in /Users/bailu/Desktop/rpc/test-rpc)
2024-04-03 19:24:58.576 [main] INFO  org.bailu.rpc.RpcProviderDemoApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-03 19:25:11.486 [main] INFO  org.bailu.rpc.RpcProvider2Application - Starting RpcProvider2Application using Java 1.8.0_392 on bailu-MacBook-Air.local with PID 47349 (/Users/bailu/Desktop/rpc/test-rpc/provider-2/target/classes started by bailu in /Users/bailu/Desktop/rpc/test-rpc)
2024-04-03 19:25:11.487 [main] INFO  org.bailu.rpc.RpcProvider2Application - No active profile set, falling back to 1 default profile: "default"
2024-04-03 19:27:16.948 [main] INFO  org.bailu.rpc.RpcProviderDemoApplication - Starting RpcProviderDemoApplication using Java 1.8.0_392 on bailu-MacBook-Air.local with PID 47399 (/Users/bailu/Desktop/rpc/test-rpc/provider-1/target/classes started by bailu in /Users/bailu/Desktop/rpc/test-rpc)
2024-04-03 19:27:16.950 [main] INFO  org.bailu.rpc.RpcProviderDemoApplication - No active profile set, falling back to 1 default profile: "default"
